totalS,totalE,totalI,totalR
10021,10,0,0
10021,10,0,0
10021,10,0,0
10021,10,0,0
10021,10,0,0
10021,10,0,0
10021,8,2,0
10024,1,6,0
10007,18,6,0
9993,33,5,0
9975,51,5,0
9958,68,5,0
9949,77,5,0
9943,82,6,0
9945,69,17,0
9895,108,28,0
9794,199,38,0
9709,278,44,0
9611,368,52,0
9489,485,57,0
9426,537,68,0
9374,555,102,0
9307,565,159,0
9167,642,221,1
8960,788,278,5
8688,1000,338,5
8359,1292,375,5
8017,1583,426,5
7672,1861,493,5
7312,2101,613,5
6933,2329,763,6
6523,2568,923,17
6035,2842,1127,27
5484,3155,1355,37
4930,3492,1566,43
4420,3731,1828,52
3951,3927,2096,57
3488,4074,2402,67
3092,4087,2751,101
2724,4074,3077,156
2303,4069,3439,220
2039,3949,3762,281
1765,3842,4081,343
1564,3658,4429,380
1363,3445,4792,431
1201,3229,5106,495
1057,2972,5389,613
898,2814,5556,763
814,2571,5713,933
704,2372,5816,1139
608,2180,5871,1372
558,1983,5897,1593
525,1773,5866,1867
466,1606,5818,2141
403,1499,5680,2449
378,1325,5499,2829
356,1196,5273,3206
337,1086,4982,3626
313,978,4726,4014
301,867,4473,4390
286,770,4195,4780
261,693,3888,5189
242,609,3613,5567
229,545,3283,5974
226,479,3031,6295
228,419,2758,6626
211,385,2503,6932
197,341,2271,7222
202,302,2053,7474
200,266,1842,7723
209,231,1643,7948
189,219,1504,8119
194,183,1340,8314
198,153,1210,8470
201,138,1091,8601
198,121,977,8735
187,114,872,8858
178,107,776,8970
175,98,686,9072
171,90,597,9173
175,78,526,9252
173,70,465,9323
170,67,411,9383
172,55,371,9433
173,47,320,9491
165,49,291,9526
161,51,255,9564
162,45,234,9590
160,41,210,9620
156,39,184,9652
152,38,163,9678
150,34,155,9692
153,26,140,9712
157,20,124,9730
158,18,109,9746
159,15,99,9758
159,12,90,9770
160,9,84,9778
157,12,74,9788
157,12,68,9794
